Num_items,Itemset,Support
1,"(""'Số người phụ thuộc=0.0'"",)",0.5
1,"(""'TỈNH=Tiền Giang'"",)",0.1
1,"(""'Hình thức vay=0.0'"",)",0.3
1,"(""'Mức vay=5.0'"",)",0.1
1,"(""'Mức vay=nan'"",)",0.3
1,"(""'Loại hình cư trú=3.0'"",)",0.4
1,"(""'Nghề nghiệp=6.0'"",)",0.1
1,"(""'Tình trạng hôn nhân=1.0'"",)",0.1
1,"(""'TỈNH=Đồng Tháp'"",)",0.1
1,"(""'Hình thức vay=1.0'"",)",0.2
1,"(""'Số năm kinh nghiệm=4.0'"",)",0.1
1,"(""'Nghề nghiệp=9.0', 'Số năm kinh nghiệm=5.0'"",)",0.1
1,"(""'Nghề nghiệp=9.0', 'TỈNH=Cà Mau'"",)",0.1
1,"(""'Nghề nghiệp=9.0', 'Số người phụ thuộc=1.0'"",)",0.1
1,"(""'Nghề nghiệp=9.0', 'Phân lớp khoản vay=13-24'"",)",0.2
1,"(""'Nghề nghiệp=9.0', 'Tình trạng tín dụng=Tốt'"",)",0.1
1,"(""'Nghề nghiệp=9.0', 'Phân lớp doanh thu=Cao'"",)",0.3
1,"(""'Nghề nghiệp=9.0', 'Mục đích vay=1.0'"",)",0.3
1,"(""'Nghề nghiệp=9.0', 'Phân lớp tuổi=Gen Z'"",)",0.2
1,"(""'Nghề nghiệp=9.0', 'Trình độ học vấn=1.0'"",)",0.2
1,"(""'Nghề nghiệp=9.0', 'Phân lớp khoản vay=25-36'"",)",0.2
1,"(""'Nghề nghiệp=9.0', 'Khoản_vay_bin=nan'"",)",0.1
1,"(""'Nghề nghiệp=9.0', 'Nguồn doanh thu chính=5.0'"",)",0.4
1,"(""'Nghề nghiệp=9.0', 'TỈNH=Thanh Hóa'"",)",0.1
1,"(""'Nghề nghiệp=9.0', 'Phân lớp doanh thu=Trung bình cao'"",)",0.1
1,"(""'Nghề nghiệp=9.0', 'Tình trạng tín dụng=Xấu'"",)",0.3
1,"(""'Nghề nghiệp=9.0', 'Trình độ học vấn=2.0'"",)",0.2
1,"(""'Nghề nghiệp=9.0', 'Mức thanh khoản=1.0'"",)",0.1
1,"(""'Nghề nghiệp=9.0', 'Hình thức vay=2.0'"",)",0.1
1,"(""'Nghề nghiệp=9.0', 'Số năm kinh nghiệm=2.0'"",)",0.1
1,"(""'Nghề nghiệp=9.0', 'Tình trạng hôn nhân=nan'"",)",0.3
1,"(""'Nghề nghiệp=9.0', 'Số năm kinh nghiệm=12.0'"",)",0.1
1,"(""'Nghề nghiệp=9.0', 'Tình trạng hôn nhân=2.0'"",)",0.1
1,"(""'Nghề nghiệp=9.0', 'Phân lớp tuổi=Gen Y'"",)",0.2
1,"(""'Nghề nghiệp=9.0', 'Mức thanh khoản=nan'"",)",0.1
1,"(""'Nghề nghiệp=9.0', 'Mục đích vay=6.0'"",)",0.1
1,"(""'Nghề nghiệp=9.0', 'Mức vay=1.0'"",)",0.2
1,"(""'Nghề nghiệp=9.0', 'TỈNH=Trà Vinh'"",)",0.1
1,"(""'Nghề nghiệp=9.0', 'Số người phụ thuộc=0.0'"",)",0.3
1,"(""'Nghề nghiệp=9.0', 'Hình thức vay=0.0'"",)",0.2
1,"(""'Nghề nghiệp=9.0', 'Mức vay=5.0'"",)",0.1
1,"(""'Nghề nghiệp=9.0', 'Loại hình cư trú=3.0'"",)",0.4
1,"(""'Nghề nghiệp=9.0', 'TỈNH=Đồng Tháp'"",)",0.1
1,"(""'Nghề nghiệp=9.0', 'Hình thức vay=1.0'"",)",0.1
1,"(""'Số năm kinh nghiệm=20.0', 'Phân lớp doanh thu=nan'"",)",0.1
1,"(""'Số năm kinh nghiệm=20.0', 'Mức thanh khoản=5.0'"",)",0.1
1,"(""'Số năm kinh nghiệm=20.0', 'Tình trạng tín dụng=Tốt'"",)",0.1
1,"(""'Số năm kinh nghiệm=20.0', 'Mục đích vay=1.0'"",)",0.1
1,"(""'Số năm kinh nghiệm=20.0', 'Phân lớp khoản vay=25-36'"",)",0.1
1,"(""'Số năm kinh nghiệm=20.0', 'Nguồn doanh thu chính=1.0'"",)",0.1
1,"(""'Số năm kinh nghiệm=20.0', 'Loại hình cư trú=0.0'"",)",0.1
1,"(""'Số năm kinh nghiệm=20.0', 'Trình độ học vấn=2.0'"",)",0.1
1,"(""'Số năm kinh nghiệm=20.0', 'Tình trạng hôn nhân=2.0'"",)",0.1
1,"(""'Số năm kinh nghiệm=20.0', 'Phân lớp tuổi=Gen X'"",)",0.1
1,"(""'Số năm kinh nghiệm=20.0', 'Loại hợp đồng=nan'"",)",0.1
1,"(""'Số năm kinh nghiệm=20.0', 'TỈNH=nan'"",)",0.1
1,"(""'Số năm kinh nghiệm=20.0', 'Hình thức vay=nan'"",)",0.1
1,"(""'Số năm kinh nghiệm=20.0', 'Mức vay=nan'"",)",0.1
1,"(""'Nguồn doanh thu chính=1.0'}, {'Loại hợp đồng=4.0'"",)",0.1
1,"(""'Nguồn doanh thu chính=1.0'}, 'Khoản_vay_bin=(0.0"",)",0.1
1,"(""'Số năm kinh nghiệm=1.0'}, {'Loại hợp đồng=2.0'"",)",0.1
1,"(""'TỈNH=Quảng Ninh', 'Loại hợp đồng=4.0'"",)",0.1
1,"(""'TỈNH=Quảng Ninh', 'Phân lớp doanh thu=nan'"",)",0.1
1,"(""'TỈNH=Quảng Ninh', 'Tình trạng tín dụng=Tốt'"",)",0.1
1,"(""'TỈNH=Quảng Ninh', 'Mục đích vay=1.0'"",)",0.1
1,"(""'TỈNH=Quảng Ninh', 'Trình độ học vấn=1.0'"",)",0.1
1,"(""'TỈNH=Quảng Ninh', 'Phân lớp khoản vay=25-36'"",)",0.1
1,"(""'TỈNH=Quảng Ninh', 'Nguồn doanh thu chính=1.0'"",)",0.1
1,"(""'TỈNH=Quảng Ninh', 'Loại hình cư trú=0.0'"",)",0.1
1,"(""'TỈNH=Quảng Ninh', 'Mức thanh khoản=2.0'"",)",0.1
1,"(""'TỈNH=Quảng Ninh', 'Tình trạng hôn nhân=2.0'"",)",0.1
1,"(""'TỈNH=Quảng Ninh', 'Phân lớp tuổi=Gen X'"",)",0.1
1,"(""'TỈNH=Quảng Ninh', 'Hình thức vay=nan'"",)",0.1
1,"(""'TỈNH=Quảng Ninh', 'Số người phụ thuộc=0.0'"",)",0.1
1,"(""'TỈNH=Quảng Ninh', 'Mức vay=nan'"",)",0.1
1,"(""'Số năm kinh nghiệm=5.0', 'Phân lớp khoản vay=13-24'"",)",0.1
1,"(""'Số năm kinh nghiệm=5.0', 'Mục đích vay=1.0'"",)",0.1
1,"(""'Số năm kinh nghiệm=5.0', 'Phân lớp tuổi=Gen Z'"",)",0.1
1,"(""'Số năm kinh nghiệm=5.0', 'Trình độ học vấn=1.0'"",)",0.1
1,"(""'Số năm kinh nghiệm=5.0', 'Nguồn doanh thu chính=5.0'"",)",0.1
1,"(""'Số năm kinh nghiệm=5.0', 'TỈNH=Thanh Hóa'"",)",0.1
1,"(""'Số năm kinh nghiệm=5.0', 'Phân lớp doanh thu=Trung bình cao'"",)",0.1
1,"(""'Số năm kinh nghiệm=5.0', 'Tình trạng tín dụng=Xấu'"",)",0.1
1,"(""'Số năm kinh nghiệm=5.0', 'Hình thức vay=2.0'"",)",0.1
1,"(""'Số năm kinh nghiệm=5.0', 'Tình trạng hôn nhân=nan'"",)",0.1
1,"(""'Số năm kinh nghiệm=5.0', 'Mức thanh khoản=nan'"",)",0.1
1,"(""'Số năm kinh nghiệm=5.0', 'Số người phụ thuộc=0.0'"",)",0.1
1,"(""'Số năm kinh nghiệm=5.0', 'Loại hình cư trú=3.0'"",)",0.1
1,"(""'Loại hợp đồng=4.0', 'Nguồn doanh thu chính=nan'"",)",0.1
1,"(""'Loại hợp đồng=4.0', 'Phân lớp doanh thu=nan'"",)",0.1
1,"(""'Loại hợp đồng=4.0', 'Loại hình cư trú=1.0'"",)",0.1
1,"(""'Loại hợp đồng=4.0', 'Tình trạng tín dụng=Tốt'"",)",0.2
1,"(""'Loại hợp đồng=4.0', 'Phân lớp doanh thu=Cao'"",)",0.1
1,"(""'Loại hợp đồng=4.0', 'Mục đích vay=1.0'"",)",0.1
1,"(""'Loại hợp đồng=4.0', 'Số năm kinh nghiệm=1.0'"",)",0.1
1,"(""'Loại hợp đồng=4.0', 'Trình độ học vấn=1.0'"",)",0.2
1,"(""'Loại hợp đồng=4.0', 'Phân lớp khoản vay=25-36'"",)",0.2
1,"(""'Loại hợp đồng=4.0', 'Nguồn doanh thu chính=1.0'"",)",0.1
1,"(""'Loại hợp đồng=4.0', 'Loại hình cư trú=0.0'"",)",0.1
1,"(""'Loại hợp đồng=4.0', 'TỈNH=Quảng Ngãi'"",)",0.1
1,"(""'Loại hợp đồng=4.0', 'Mức thanh khoản=2.0'"",)",0.1
1,"(""'Loại hợp đồng=4.0', 'Tình trạng hôn nhân=2.0'"",)",0.1
1,"(""'Loại hợp đồng=4.0', 'Phân lớp tuổi=Gen X'"",)",0.1
1,"(""'Loại hợp đồng=4.0', 'Phân lớp tuổi=Gen Y'"",)",0.1
1,"(""'Loại hợp đồng=4.0', 'Mức thanh khoản=nan'"",)",0.1
1,"(""'Loại hợp đồng=4.0', 'Mục đích vay=6.0'"",)",0.1
1,"(""'Loại hợp đồng=4.0', 'Hình thức vay=nan'"",)",0.2
1,"(""'Loại hợp đồng=4.0', 'Số người phụ thuộc=0.0'"",)",0.1
1,"(""'Loại hợp đồng=4.0', 'Mức vay=nan'"",)",0.2
1,"(""'Loại hợp đồng=4.0', 'Tình trạng hôn nhân=1.0'"",)",0.1
1,"(""'Nguồn doanh thu chính=nan', 'Loại hình cư trú=1.0'"",)",0.1
1,"(""'Nguồn doanh thu chính=nan', 'Tình trạng tín dụng=Tốt'"",)",0.1
1,"(""'Nguồn doanh thu chính=nan', 'Phân lớp doanh thu=Cao'"",)",0.1
1,"(""'Nguồn doanh thu chính=nan', 'Số năm kinh nghiệm=1.0'"",)",0.1
1,"(""'Nguồn doanh thu chính=nan', 'Trình độ học vấn=1.0'"",)",0.1
1,"(""'Nguồn doanh thu chính=nan', 'Phân lớp khoản vay=25-36'"",)",0.1
1,"(""'Nguồn doanh thu chính=nan', 'TỈNH=Quảng Ngãi'"",)",0.1
1,"(""'Nguồn doanh thu chính=nan', 'Phân lớp tuổi=Gen Y'"",)",0.1
1,"(""'Nguồn doanh thu chính=nan', 'Mức thanh khoản=nan'"",)",0.1
1,"(""'Nguồn doanh thu chính=nan', 'Mục đích vay=6.0'"",)",0.1
1,"(""'Nguồn doanh thu chính=nan', 'Hình thức vay=nan'"",)",0.1
1,"(""'Nguồn doanh thu chính=nan', 'Mức vay=nan'"",)",0.1
1,"(""'Nguồn doanh thu chính=nan', 'Tình trạng hôn nhân=1.0'"",)",0.1
1,"(""'Phân lớp doanh thu=nan', 'Mức thanh khoản=5.0'"",)",0.1
1,"(""'Phân lớp doanh thu=nan', 'Tình trạng tín dụng=Tốt'"",)",0.2
1,"(""'Phân lớp doanh thu=nan', 'Mục đích vay=1.0'"",)",0.2
1,"(""'Phân lớp doanh thu=nan', 'Trình độ học vấn=1.0'"",)",0.1
1,"(""'Phân lớp doanh thu=nan', 'Phân lớp khoản vay=25-36'"",)",0.2
1,"(""'Phân lớp doanh thu=nan', 'Nguồn doanh thu chính=1.0'"",)",0.2
1,"(""'Phân lớp doanh thu=nan', 'Loại hình cư trú=0.0'"",)",0.2
1,"(""'Phân lớp doanh thu=nan', 'Trình độ học vấn=2.0'"",)",0.1
1,"(""'Phân lớp doanh thu=nan', 'Mức thanh khoản=2.0'"",)",0.1
1,"(""'Phân lớp doanh thu=nan', 'Tình trạng hôn nhân=2.0'"",)",0.2
1,"(""'Phân lớp doanh thu=nan', 'Phân lớp tuổi=Gen X'"",)",0.2
1,"(""'Phân lớp doanh thu=nan', 'Loại hợp đồng=nan'"",)",0.1
1,"(""'Phân lớp doanh thu=nan', 'TỈNH=nan'"",)",0.1
1,"(""'Phân lớp doanh thu=nan', 'Hình thức vay=nan'"",)",0.2
1,"(""'Phân lớp doanh thu=nan', 'Số người phụ thuộc=0.0'"",)",0.1
1,"(""'Phân lớp doanh thu=nan', 'Mức vay=nan'"",)",0.2
1,"(""'TỈNH=Cà Mau', 'Phân lớp doanh thu=Cao'"",)",0.1
1,"(""'TỈNH=Cà Mau', 'Phân lớp tuổi=Gen Z'"",)",0.1
1,"(""'TỈNH=Cà Mau', 'Phân lớp khoản vay=25-36'"",)",0.1
1,"(""'TỈNH=Cà Mau', 'Nguồn doanh thu chính=5.0'"",)",0.1
1,"(""'TỈNH=Cà Mau', 'Tình trạng tín dụng=Xấu'"",)",0.1
1,"(""'TỈNH=Cà Mau', 'Trình độ học vấn=2.0'"",)",0.1
1,"(""'TỈNH=Cà Mau', 'Số năm kinh nghiệm=2.0'"",)",0.1
1,"(""'TỈNH=Cà Mau', 'Tình trạng hôn nhân=nan'"",)",0.1
1,"(""'TỈNH=Cà Mau', 'Mục đích vay=6.0'"",)",0.1
1,"(""'TỈNH=Cà Mau', 'Mức vay=1.0'"",)",0.1
1,"(""'TỈNH=Cà Mau', 'Số người phụ thuộc=0.0'"",)",0.1
1,"(""'TỈNH=Cà Mau', 'Loại hình cư trú=3.0'"",)",0.1
1,"(""'TỈNH=Cà Mau', 'Hình thức vay=1.0'"",)",0.1
1,"(""'Loại hình cư trú=1.0', 'Mức thanh khoản=5.0'"",)",0.1
1,"(""'Loại hình cư trú=1.0', 'Tình trạng tín dụng=Tốt'"",)",0.2
1,"(""'Loại hình cư trú=1.0', 'Phân lớp doanh thu=Cao'"",)",0.3
1,"(""'Loại hình cư trú=1.0', 'Mục đích vay=1.0'"",)",0.1
1,"(""'Loại hình cư trú=1.0', 'Phân lớp tuổi=nan'"",)",0.1
1,"(""'Loại hình cư trú=1.0', 'Số năm kinh nghiệm=1.0'"",)",0.1
1,"(""'Loại hình cư trú=1.0', 'Trình độ học vấn=1.0'"",)",0.3
1,"(""'Loại hình cư trú=1.0', 'Phân lớp khoản vay=25-36'"",)",0.3
1,"(""'Loại hình cư trú=1.0', 'Số người phụ thuộc=nan'"",)",0.1
1,"(""'Loại hình cư trú=1.0', 'TỈNH=Hồ Chí Minh'"",)",0.1
1,"(""'Loại hình cư trú=1.0', 'Nguồn doanh thu chính=5.0'"",)",0.2
1,"(""'Loại hình cư trú=1.0', 'Tình trạng tín dụng=Xấu'"",)",0.1
1,"(""'Loại hình cư trú=1.0', 'TỈNH=Quảng Ngãi'"",)",0.1
1,"(""'Loại hình cư trú=1.0', 'Mức thanh khoản=1.0'"",)",0.1
1,"(""'Loại hình cư trú=1.0', 'Hình thức vay=2.0'"",)",0.1
1,"(""'Loại hình cư trú=1.0', 'Tình trạng hôn nhân=nan'"",)",0.1
1,"(""'Loại hình cư trú=1.0', 'Tình trạng hôn nhân=0.0'"",)",0.1
1,"(""'Loại hình cư trú=1.0', 'TỈNH=Bắc Ninh'"",)",0.1
1,"(""'Loại hình cư trú=1.0', 'Nghề nghiệp=nan'"",)",0.2
1,"(""'Loại hình cư trú=1.0', 'Phân lớp tuổi=Gen Y'"",)",0.2
1,"(""'Loại hình cư trú=1.0', 'Mức thanh khoản=nan'"",)",0.1
1,"(""'Loại hình cư trú=1.0', 'Mục đích vay=6.0'"",)",0.2
1,"(""'Loại hình cư trú=1.0', 'Mức vay=3.0'"",)",0.1
1,"(""'Loại hình cư trú=1.0', 'Hình thức vay=nan'"",)",0.1
1,"(""'Loại hình cư trú=1.0', 'Số người phụ thuộc=0.0'"",)",0.1
1,"(""'Loại hình cư trú=1.0', 'Hình thức vay=0.0'"",)",0.1
1,"(""'Loại hình cư trú=1.0', 'Mức vay=nan'"",)",0.1
1,"(""'Loại hình cư trú=1.0', 'Tình trạng hôn nhân=1.0'"",)",0.1
1,"(""'Loại hình cư trú=1.0', 'Số năm kinh nghiệm=4.0'"",)",0.1
1,"(""'Số người phụ thuộc=1.0', 'Phân lớp doanh thu=Cao'"",)",0.1
1,"(""'Số người phụ thuộc=1.0', 'Mục đích vay=1.0'"",)",0.1
1,"(""'Số người phụ thuộc=1.0', 'Phân lớp khoản vay=25-36'"",)",0.1
1,"(""'Số người phụ thuộc=1.0', 'Khoản_vay_bin=nan'"",)",0.1
1,"(""'Số người phụ thuộc=1.0', 'Nguồn doanh thu chính=5.0'"",)",0.1
1,"(""'Số người phụ thuộc=1.0', 'Tình trạng tín dụng=Xấu'"",)",0.1
1,"(""'Số người phụ thuộc=1.0', 'Trình độ học vấn=2.0'"",)",0.1
1,"(""'Số người phụ thuộc=1.0', 'Mức thanh khoản=1.0'"",)",0.1
1,"(""'Số người phụ thuộc=1.0', 'Tình trạng hôn nhân=nan'"",)",0.1
1,"(""'Số người phụ thuộc=1.0', 'Phân lớp tuổi=Gen Y'"",)",0.1
1,"(""'Số người phụ thuộc=1.0', 'Mức vay=1.0'"",)",0.1
1,"(""'Số người phụ thuộc=1.0', 'Hình thức vay=0.0'"",)",0.1
1,"(""'Số người phụ thuộc=1.0', 'Loại hình cư trú=3.0'"",)",0.1
1,"(""'Số người phụ thuộc=1.0', 'TỈNH=Đồng Tháp'"",)",0.1
1,"(""'Phân lớp khoản vay=13-24', 'Tình trạng tín dụng=Tốt'"",)",0.1
1,"(""'Phân lớp khoản vay=13-24', 'Phân lớp doanh thu=Cao'"",)",0.1
1,"(""'Phân lớp khoản vay=13-24', 'Mục đích vay=1.0'"",)",0.2
1,"(""'Phân lớp khoản vay=13-24', 'Phân lớp tuổi=Gen Z'"",)",0.1
1,"(""'Phân lớp khoản vay=13-24', 'Trình độ học vấn=1.0'"",)",0.2
1,"(""'Phân lớp khoản vay=13-24', 'Nguồn doanh thu chính=5.0'"",)",0.2
1,"(""'Phân lớp khoản vay=13-24', 'TỈNH=Thanh Hóa'"",)",0.1
1,"(""'Phân lớp khoản vay=13-24', 'Phân lớp doanh thu=Trung bình cao'"",)",0.1
1,"(""'Phân lớp khoản vay=13-24', 'Tình trạng tín dụng=Xấu'"",)",0.1
1,"(""'Phân lớp khoản vay=13-24', 'Hình thức vay=2.0'"",)",0.1
1,"(""'Phân lớp khoản vay=13-24', 'Tình trạng hôn nhân=nan'"",)",0.1
1,"(""'Phân lớp khoản vay=13-24', 'Số năm kinh nghiệm=12.0'"",)",0.1
1,"(""'Phân lớp khoản vay=13-24', 'Tình trạng hôn nhân=2.0'"",)",0.1
1,"(""'Phân lớp khoản vay=13-24', 'Phân lớp tuổi=Gen Y'"",)",0.1
1,"(""'Phân lớp khoản vay=13-24', 'Mức thanh khoản=nan'"",)",0.1
1,"(""'Phân lớp khoản vay=13-24', 'TỈNH=Trà Vinh'"",)",0.1
1,"(""'Phân lớp khoản vay=13-24', 'Số người phụ thuộc=0.0'"",)",0.2
1,"(""'Phân lớp khoản vay=13-24', 'Hình thức vay=0.0'"",)",0.1
1,"(""'Phân lớp khoản vay=13-24', 'Mức vay=5.0'"",)",0.1
1,"(""'Phân lớp khoản vay=13-24', 'Loại hình cư trú=3.0'"",)",0.2
1,"(""'Mức thanh khoản=5.0', 'Tình trạng tín dụng=Tốt'"",)",0.1
1,"(""'Mức thanh khoản=5.0', 'Phân lớp doanh thu=Cao'"",)",0.1
1,"(""'Mức thanh khoản=5.0', 'Mục đích vay=1.0'"",)",0.2
1,"(""'Mức thanh khoản=5.0', 'Phân lớp tuổi=nan'"",)",0.1
1,"(""'Mức thanh khoản=5.0', 'Trình độ học vấn=1.0'"",)",0.1
1,"(""'Mức thanh khoản=5.0', 'Phân lớp khoản vay=25-36'"",)",0.2
1,"(""'Mức thanh khoản=5.0', 'Số người phụ thuộc=nan'"",)",0.1
1,"(""'Mức thanh khoản=5.0', 'Nguồn doanh thu chính=1.0'"",)",0.1
1,"(""'Mức thanh khoản=5.0', 'Loại hình cư trú=0.0'"",)",0.1
1,"(""'Mức thanh khoản=5.0', 'TỈNH=Hồ Chí Minh'"",)",0.1
1,"(""'Mức thanh khoản=5.0', 'Nguồn doanh thu chính=5.0'"",)",0.1
1,"(""'Mức thanh khoản=5.0', 'Tình trạng tín dụng=Xấu'"",)",0.1
1,"(""'Mức thanh khoản=5.0', 'Trình độ học vấn=2.0'"",)",0.1
1,"(""'Mức thanh khoản=5.0', 'Tình trạng hôn nhân=nan'"",)",0.1
1,"(""'Mức thanh khoản=5.0', 'Tình trạng hôn nhân=2.0'"",)",0.1
1,"(""'Mức thanh khoản=5.0', 'Phân lớp tuổi=Gen X'"",)",0.1
1,"(""'Mức thanh khoản=5.0', 'Nghề nghiệp=nan'"",)",0.1
1,"(""'Mức thanh khoản=5.0', 'Loại hợp đồng=nan'"",)",0.1
1,"(""'Mức thanh khoản=5.0', 'Mức vay=3.0'"",)",0.1
1,"(""'Mức thanh khoản=5.0', 'TỈNH=nan'"",)",0.1
1,"(""'Mức thanh khoản=5.0', 'Hình thức vay=nan'"",)",0.1
1,"(""'Mức thanh khoản=5.0', 'Hình thức vay=0.0'"",)",0.1
1,"(""'Mức thanh khoản=5.0', 'Mức vay=nan'"",)",0.1
1,"(""'Tình trạng tín dụng=Tốt', 'Mức vay=4.0'"",)",0.1
1,"(""'Tình trạng tín dụng=Tốt', 'Phân lớp doanh thu=Cao'"",)",0.4
1,"(""'Tình trạng tín dụng=Tốt', 'Mục đích vay=1.0'"",)",0.4
1,"(""'Tình trạng tín dụng=Tốt', 'Phân lớp tuổi=nan'"",)",0.1
1,"(""'Tình trạng tín dụng=Tốt', 'Số năm kinh nghiệm=1.0'"",)",0.1
1,"(""'Tình trạng tín dụng=Tốt', 'Trình độ học vấn=1.0'"",)",0.4
1,"(""'Tình trạng tín dụng=Tốt', 'Phân lớp khoản vay=25-36'"",)",0.5
1,"(""'Tình trạng tín dụng=Tốt', 'Số người phụ thuộc=2.0'"",)",0.1
1,"(""'Tình trạng tín dụng=Tốt', 'Nguồn doanh thu chính=1.0'"",)",0.2
1,"(""'Tình trạng tín dụng=Tốt', 'Loại hình cư trú=0.0'"",)",0.3
1,"(""'Tình trạng tín dụng=Tốt', 'Số năm kinh nghiệm=6.0'"",)",0.1
1,"(""'Tình trạng tín dụng=Tốt', 'Nguồn doanh thu chính=5.0'"",)",0.2
1,"(""'Tình trạng tín dụng=Tốt', 'TỈNH=Quảng Ngãi'"",)",0.1
1,"(""'Tình trạng tín dụng=Tốt', 'Trình độ học vấn=2.0'"",)",0.1
1,"(""'Tình trạng tín dụng=Tốt', 'Mức thanh khoản=2.0'"",)",0.1
1,"(""'Tình trạng tín dụng=Tốt', 'Mức thanh khoản=1.0'"",)",0.2
1,"(""'Tình trạng tín dụng=Tốt', 'Hình thức vay=2.0'"",)",0.1
1,"(""'Tình trạng tín dụng=Tốt', 'Số năm kinh nghiệm=12.0'"",)",0.1
1,"(""'Tình trạng tín dụng=Tốt', 'Tình trạng hôn nhân=0.0'"",)",0.1
1,"(""'Tình trạng tín dụng=Tốt', 'Tình trạng hôn nhân=2.0'"",)",0.4
1,"(""'Tình trạng tín dụng=Tốt', 'Phân lớp tuổi=Gen X'"",)",0.2
1,"(""'Tình trạng tín dụng=Tốt', 'TỈNH=Bắc Ninh'"",)",0.1
1,"(""'Tình trạng tín dụng=Tốt', 'Nghề nghiệp=nan'"",)",0.1
1,"(""'Tình trạng tín dụng=Tốt', 'Phân lớp tuổi=Gen Y'"",)",0.3
1,"(""'Tình trạng tín dụng=Tốt', 'Mức thanh khoản=nan'"",)",0.1
1,"(""'Tình trạng tín dụng=Tốt', 'Mục đích vay=6.0'"",)",0.2
1,"(""'Tình trạng tín dụng=Tốt', 'Loại hợp đồng=nan'"",)",0.1
1,"(""'Tình trạng tín dụng=Tốt', 'Trình độ học vấn=3.0'"",)",0.1
1,"(""'Tình trạng tín dụng=Tốt', 'TỈNH=nan'"",)",0.1
1,"(""'Tình trạng tín dụng=Tốt', 'TỈNH=Trà Vinh'"",)",0.1
1,"(""'Tình trạng tín dụng=Tốt', 'Hình thức vay=nan'"",)",0.3
1,"(""'Tình trạng tín dụng=Tốt', 'Số người phụ thuộc=0.0'"",)",0.3
1,"(""'Tình trạng tín dụng=Tốt', 'TỈNH=Tiền Giang'"",)",0.1
1,"(""'Tình trạng tín dụng=Tốt', 'Hình thức vay=0.0'"",)",0.1
1,"(""'Tình trạng tín dụng=Tốt', 'Mức vay=5.0'"",)",0.1
1,"(""'Tình trạng tín dụng=Tốt', 'Mức vay=nan'"",)",0.3
1,"(""'Tình trạng tín dụng=Tốt', 'Loại hình cư trú=3.0'"",)",0.1
